Competition,Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Batter ID,Bowler,Bowler ID,Runs,Extra Runs,Bowler Extra Runs,Extra,Penalty Runs,Runs Awarded To,Penalty,Ball Outcome,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Non-Striker ID,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,North Boundary,South Boundary,East Boundary,West Boundary,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour,Pitchside Fielder 1 X,Pitchside Fielder 1 Y,Pitchside Fielder 2 X,Pitchside Fielder 2 Y,Pitchside Fielder 3 X,Pitchside Fielder 3 Y,Pitchside Fielder 4 X,Pitchside Fielder 4 Y,Pitchside Fielder 5 X,Pitchside Fielder 5 Y,Pitchside Fielder 6 X,Pitchside Fielder 6 Y,Pitchside Fielder 7 X,Pitchside Fielder 7 Y,Pitchside Fielder 8 X,Pitchside Fielder 8 Y,Pitchside Fielder 9 X,Pitchside Fielder 9 Y
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,5,2,25,LJ Shaw,8d11ad19-89c9-4b73-b67e-cc74d083614f,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Line,Length,On Side Drive,Front Foot,,Mis-timed,In Swinger,,,,,,,215,201,22.924528301886767,84.52447654986508,,,No,No,CK Boycott,"Ground Field ",Mid Wicket,,,,,,,,,,RHB,RM,20250608 11:58:37.853,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,16,1,1,1,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,1,No,2,13,1,1,1,1,4.00,3.84,2.38,2.40,6.803,-0.238,,,,,,,,,,,,,,,,,,,,,,,,6.803,-0.238,,,0.19934372436423275,0.7349954482596964,Newbery,White,167.29195,114.84559,200.00000,240.00000,150.00000,240.00000,140.87269,202.11926,76.46050,50.77315,111.87651,140.47285,111.49065,182.73694,238.15894,208.79341,266.08636,46.30030
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,5,3,26,LJ Shaw,8d11ad19-89c9-4b73-b67e-cc74d083614f,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Off Wide,Length,Cut,Back Foot,,Missed,In Swinger,,,,,,,174,128,-62.569811320754525,91.21644420485157,Play and Miss,,No,No,OK Gough,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250608 11:59:04.227,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,16,1,1,1,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,2,No,2,14,1,1,1,1,3.84,3.69,2.40,2.43,6.578,-0.685,,,,,,,,,,,,,,,,,,,,,,,,6.578,-0.685,,,-0.5440853158326481,0.7931864713465354,Newbery,White,76.46050,50.77315,200.00000,240.00000,140.87269,202.11926,111.87651,140.47285,150.00000,240.00000,167.29195,114.84559,238.15894,208.79341,111.49065,182.73694,266.08636,46.30030
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,5,4,27,LJ Shaw,8d11ad19-89c9-4b73-b67e-cc74d083614f,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Off,Length,Off Side Drive,Front Foot,,Mis-timed,In Swinger,,,,,Caught,LJ Shaw,118,137,-42.97735849056585,49.726244743935155,"In Air,Appeal,Poor Shot Execution,Catch Chance / Drop Short",,No,No,GM Davies,"Catch - Easy,Catch",Backward Point,,,,,,,,,,RHB,RM,20250608 12:00:06.65,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,16,2,1,1,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,3,No,2,15,1,1,1,1,3.69,3.56,2.43,2.45,5.723,-0.405,,,,,,,,,,,,,,,,,,,,,,,,5.723,-0.405,,,-0.3737161607875291,0.4324021282081318,Newbery,White,111.87651,140.47285,76.46050,50.77315,167.29195,114.84559,111.49065,182.73694,150.00000,240.00000,140.87269,202.11926,266.08636,46.30030,200.00000,240.00000,238.15894,208.79341
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,5,5,28,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Line,Length,Forward Defence,Back Foot,,Hit Pad,In Swinger,,,,,,,152,147,33.6113207547171,73.8173283018867,Appeal,,No,No,OK Gough,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250608 12:00:31.923,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,16,2,4,1,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,4,No,3,1,0,1,1,5,3.56,3.43,2.45,2.48,6.128,-0.095,,,,,,,,,,,,,,,,,,,,,,,,6.128,-0.095,,,0.29227235438884436,0.641889811320754,Newbery,White,150.00000,240.00000,76.46050,50.77315,266.08636,46.30030,111.49065,182.73694,111.87651,140.47285,242.94167,156.21939,140.87269,202.11926,238.15894,208.79341,200.00000,240.00000
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,5,6,29,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Off,Length,Back Defence,Back Foot,,Missed,In Swinger,,,,,,,172,110,-41.19622641509409,91.21644420485157,Play and Miss,,No,No,OK Gough,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250608 12:01:54.51,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,16,2,4,1,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,5,No,3,2,0,1,1,5,3.43,3.31,2.48,2.51,6.128,-0.340,,,,,,,,,,,,,,,,,,,,,,,,6.128,-0.340,,,-0.35822805578342687,0.7931864713465354,Newbery,White,150.00000,240.00000,140.87269,202.11926,238.15894,208.79341,200.00000,240.00000,76.46050,50.77315,111.49065,182.73694,242.94167,156.21939,111.87651,140.47285,266.08636,46.30030
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,5,7,30,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Off,Length,Cut,Back Foot,,Bat Pad,In Swinger,,,,,,,150,145,-53.66415094339618,95.23162479784355,,,No,No,BLJ Gillgrass,"Ground Field ",Extra Cover,,,,,,,,,,RHB,RM,20250608 12:02:21.873,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,16,2,4,1,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,6,No,3,3,0,1,1,5,3.31,3.20,2.51,2.53,6.353,-0.375,,,,,,,,,,,,,,,,,,,,,,,,6.353,-0.375,,,-0.4666447908121407,0.8281010851986396,Newbery,White,266.08636,46.30030,200.00000,240.00000,140.87269,202.11926,111.49065,182.73694,238.15894,208.79341,242.94167,156.21939,150.00000,240.00000,76.46050,50.77315,111.87651,140.47285
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,6,1,31,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,PJ Brett,2b2a64ac-622f-4c42-93b0-22199151542a,0,0,0,,,,,,Line,Full,Off Side Drive,Front Foot,,Middled,Turn Away,,,,,,,145,237,-34.071698113207276,26.973554716981027,"Around the Wicket,Keeper Up",,Yes,Yes,JD Beach,"Ground Field ",Mid Off,,,,,,,,,,RHB,LOB,20250608 12:03:07.45,0,Derbyshire Falcons Women,Bowl,New Road,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,16,2,3,1,1,1,14,T Murphy,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,1,No,3,10,5,1,3,2,3.20,3.10,2.53,2.56,2.933,-0.238,,,,,,,,,,,,,,,,,,,,,,,,2.933,-0.238,,,-0.2962756357670198,0.2345526497128785,Newbery,White,225.89641,223.35036,218.26015,329.45686,140.87269,202.11926,238.13668,149.54844,150.00000,240.00000,167.29195,114.84559,111.49065,182.73694,111.87651,140.47285,333.18684,208.79341
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,6,2,32,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,PJ Brett,2b2a64ac-622f-4c42-93b0-22199151542a,0,0,0,,,,,,Leg,Length,Back Defence,Back Foot,,Missed,Turn Away,,,,,,,174,154,-21.60377358490564,97.90841185983808,"Around the Wicket,Keeper Up,Play and Miss",,Yes,Yes,OK Gough,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,LOB,20250608 12:03:41.913,0,Derbyshire Falcons Women,Bowl,New Road,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,16,2,3,1,1,1,14,T Murphy,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,2,No,3,11,5,1,3,2,3.10,3.00,2.56,2.59,4.226,0.030,,,,,,,,,,,,,,,,,,,,,,,,4.226,0.030,,,-0.1878589007383099,0.8513774944333746,Newbery,White,150.00000,240.00000,140.87269,202.11926,333.18684,208.79341,238.13668,149.54844,111.87651,140.47285,225.89641,223.35036,167.29195,114.84559,111.49065,182.73694,218.26015,329.45686
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,6,3,33,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,PJ Brett,2b2a64ac-622f-4c42-93b0-22199151542a,0,0,0,,,,,,Line,Length,Leg Glance,Back Foot,,Mis-timed,No Turn,,,,,,,213,118,26.486792452830286,91.21644420485157,"Around the Wicket,Keeper Up",,Yes,Yes,AB Wheeler,"Ground Field ",Backward Square Leg,,,,,,,,,,RHB,LOB,20250608 12:03:57.377,0,Derbyshire Falcons Women,Bowl,New Road,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,16,2,3,1,1,1,14,T Murphy,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,3,No,3,12,5,1,3,2,3.00,2.91,2.59,2.62,4.857,-0.083,,,,,,,,,,,,,,,,,,,,,,,,4.857,-0.083,,,0.23031993437243728,0.7931864713465354,Newbery,White,150.00000,240.00000,111.49065,182.73694,225.89641,223.35036,218.26015,329.45686,333.18684,208.79341,111.87651,140.47285,140.87269,202.11926,167.29195,114.84559,229.93822,134.26622
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,6,4,34,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,PJ Brett,2b2a64ac-622f-4c42-93b0-22199151542a,1,0,0,,,,,,Leg,Length,Flick,Back Foot,,Middled,No Turn,,,,,,,233,157,24.705660377358754,75.15572183288396,"Around the Wicket,Keeper Up",,Yes,Yes,AB Wheeler,"Ground Field ",Backward Square Leg,,,,,,,,,,RHB,LOB,20250608 12:04:23.047,0,Derbyshire Falcons Women,Bowl,New Road,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,17,2,3,1,1,1,14,T Murphy,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,4,No,3,13,6,1,3,2,2.91,3.00,2.62,2.58,4.496,0.012,,,,,,,,,,,,,,,,,,,,,,,,4.496,0.012,,,0.214831829368337,0.6535280159381214,Newbery,White,140.87269,202.11926,150.00000,240.00000,225.89641,223.35036,333.18684,208.79341,218.26015,329.45686,229.93822,134.26622,111.87651,140.47285,111.49065,182.73694,167.29195,114.84559
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,6,5,35,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,PJ Brett,2b2a64ac-622f-4c42-93b0-22199151542a,0,0,0,,,,,,Line,Full Toss,Forward Defence,Front Foot,,Middled,No Turn,,,,,,,143,151,-46.53962264150914,89.87805067385423,"Around the Wicket,Keeper Up",,Yes,Yes,GM Davies,"Ground Field ",Backward Point,,,,,,,,,,RHB,LOB,20250608 12:04:45.517,0,Derbyshire Falcons Women,Bowl,New Road,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,17,2,4,1,1,1,14,T Murphy,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,5,No,3,4,0,1,3,5,3.00,2.91,2.58,2.61,0.498,-0.214,,,,,,,,,,,,,,,,,,,,,,,,0.498,-0.214,,,-0.40469237079573167,0.7815482667291672,Newbery,White,150.00000,240.00000,111.87651,140.47285,266.08636,46.30030,111.49065,182.73694,238.15894,208.79341,200.00000,240.00000,242.94167,156.21939,76.46050,50.77315,140.87269,202.11926
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,6,6,36,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,PJ Brett,2b2a64ac-622f-4c42-93b0-22199151542a,0,0,0,,,,,,Off,Length,Back Defence,Back Foot,,Middled,No Turn,,,,,,,152,122,-60.788679245282765,55.07981886792439,"Around the Wicket,Keeper Up",,Yes,Yes,GM Davies,"Ground Field ",Backward Point,,,,,,,,,,RHB,LOB,20250608 12:05:25.087,0,Derbyshire Falcons Women,Bowl,New Road,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,17,2,4,1,1,1,14,T Murphy,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,6,No,3,5,0,1,3,5,2.91,2.83,2.61,2.64,4.361,-0.387,,,,,,,,,,,,,,,,,,,,,,,,4.361,-0.387,,,-0.5285972108285458,0.47895494667760335,Newbery,White,111.87651,140.47285,238.15894,208.79341,150.00000,240.00000,76.46050,50.77315,140.87269,202.11926,200.00000,240.00000,266.08636,46.30030,242.94167,156.21939,111.49065,182.73694
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,1,37,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Line,Length,Leg Glance,Front Foot,,Hit Pad,In Swinger,,,,,,,159,167,26.486792452830286,67.1253606469001,Appeal,,No,No,BLJ Gillgrass,"Ground Field ",Extra Cover,,,,,,,,,,RHB,RM,20250608 12:06:11.19,0,Derbyshire Falcons Women,Bowl,Diglis,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,17,2,3,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,1,No,3,14,6,1,2,2,2.83,2.76,2.64,2.67,5.768,-0.214,,,,,,,,,,,,,,,,,,,,,,,,5.768,-0.214,,,0.23031993437243728,0.583698788233914,Newbery,White,111.49065,182.73694,111.87651,140.47285,225.89641,223.35036,229.93822,134.26622,333.18684,208.79341,140.87269,202.11926,150.00000,240.00000,218.26015,329.45686,167.29195,114.84559
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,2,38,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Off,Back Of Length,Off Side Drive,Front Foot,,Bat Pad,In Swinger,,,,,,,143,169,-41.19622641509409,103.26198598382732,,,No,No,BLJ Gillgrass,"Ground Field ",Extra Cover,,,,,,,,,,RHB,RM,20250608 12:06:37.233,0,Derbyshire Falcons Women,Bowl,Diglis,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,17,2,3,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,2,No,3,15,6,1,2,2,2.76,2.68,2.67,2.71,7.375,-0.423,,,,,,,,,,,,,,,,,,,,,,,,7.375,-0.423,,,-0.35822805578342687,0.8979303129028462,Newbery,White,111.49065,182.73694,256.41936,44.04368,150.00000,240.00000,225.89641,223.35036,140.87269,202.11926,167.29195,114.84559,111.87651,140.47285,240.37269,156.63044,92.30216,36.48562
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,3,39,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Line,Length,Off Side Drive,Front Foot,,Mis-timed,In Swinger,,,,,,,152,215,-37.633962264150796,57.756605929919004,In Air,,No,No,AB Wheeler,"Ground Field ",Mid Off,,,,,,,,,,RHB,RM,20250608 12:07:05.587,0,Derbyshire Falcons Women,Bowl,Diglis,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,17,2,3,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,3,No,3,16,6,1,2,2,2.68,2.62,2.71,2.74,5.453,-0.214,,,,,,,,,,,,,,,,,,,,,,,,5.453,-0.214,,,-0.3272518457752243,0.5022313559123391,Newbery,White,140.87269,202.11926,92.30216,36.48562,198.33315,238.12994,105.90083,176.40041,256.41936,44.04368,150.00000,240.00000,231.48631,213.65920,240.37269,156.63044,118.47355,142.42812
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,4,40,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,1,1,Wide,,,,,Leg,Full,Leg Glance,Front Foot,,Missed,In Swinger,,,,,,,180,98,51.42264150943424,49.726244743935155,Play and Miss,,No,No,OK Gough,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250608 12:07:32.693,0,Derbyshire Falcons Women,Bowl,Diglis,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,18,2,3,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,No,4,No,3,16,6,1,2,2,2.62,2.77,2.74,2.67,2.482,0.072,,,,,,,,,,,,,,,,,,,,,,,,2.482,0.072,,,0.44715340442986296,0.4324021282081318,Newbery,White,105.90083,176.40041,140.87269,202.11926,150.00000,240.00000,240.37269,156.63044,198.33315,238.12994,231.48631,213.65920,256.41936,44.04368,118.47355,142.42812,92.30216,36.48562
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,5,40,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,1,0,0,,,,,,Off,Length,Off Side Drive,Front Foot,,Thick Edge,In Swinger,,,,,,,109,51,-39.415094339622556,57.756605929919004,Edge,,No,No,PJ Brett,"Ground Field ",Third Man,,,,,,,,,,RHB,RM,20250608 12:08:04.907,0,Derbyshire Falcons Women,Bowl,Diglis,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,19,2,3,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,4,No,3,17,7,1,2,2,2.77,2.85,2.67,2.63,6.488,-0.364,,,,,,,,,,,,,,,,,,,,,,,,6.488,-0.364,,,-0.34273995077932656,0.5022313559123391,Newbery,White,240.37269,156.63044,140.87269,202.11926,198.33315,238.12994,150.00000,240.00000,118.47355,142.42812,256.41936,44.04368,105.90083,176.40041,92.30216,36.48562,231.48631,213.65920
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,6,41,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,2,0,0,,,,,,Off,Length,Back Defence,Back Foot,,Outside Edge,In Swinger,,,,,,,136,30,-51.88301886792419,130.0298566037734,Edge,,No,No,PJ Brett,"Ground Field ",Third Man,,,,,,,,,,RHB,RM,20250608 12:08:34.713,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,21,2,4,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,5,No,3,6,2,1,2,5,2.85,3.07,2.63,2.51,6.578,-0.441,,,,,,,,,,,,,,,,,,,,,,,,6.578,-0.441,,,-0.4511566858080365,1.1306944052502035,Newbery,White,238.15894,208.79341,266.08636,46.30030,111.49065,182.73694,76.46050,50.77315,140.87269,202.11926,150.00000,240.00000,200.00000,240.00000,242.94167,156.21939,111.87651,140.47285
Vitality Blast - Women League Two,Worcestershire Rapids Women v Derbyshire Falcons Women,08/06/2025,10:30 UTC+1,2,7,7,42,N Allen,8033a53f-8dcf-401b-acc6-35c07b1dd0dc,JD Beach,6797dc78-8559-4a72-8272-9ac449924988,0,0,0,,,,,,Line,Full,Forward Defence,Front Foot,,Mis-timed,In Swinger,,,,,,,174,171,-3.792452830188722,73.8173283018867,,,No,No,JD Beach,"Ground Field ",Bowler,,,,,,,,,,RHB,RM,20250608 12:09:08.947,0,Derbyshire Falcons Women,Bowl,Diglis,MK Pittman,691b4152-9b42-44a3-9ed7-51189aa34ca5,21,2,4,,1,1,14,BJ Peverall,Derbyshire Falcons Women won by 7 wickets,Derbyshire Falcons Women,Worcestershire Rapids Women,Derbyshire Falcons Women,Worcestershire Rapids Women,Visit Worcestershire New Road,60,60,53,60,Phil.Mellish,,,,,,,Yes,6,No,3,7,2,1,2,5,3.07,3.00,2.51,2.54,4.689,-0.202,,,,,,,,,,,,,,,,,,,,,,,,4.689,-0.202,,,-0.03297785069729323,0.641889811320754,Newbery,White,266.08636,46.30030,150.00000,240.00000,111.87651,140.47285,238.15894,208.79341,76.46050,50.77315,140.87269,202.11926,242.94167,156.21939,200.00000,240.00000,111.49065,182.73694
